,Country,Name,Artist,Album,Genre,Rank,Source
0,Hong Kong,Into the Unknown,Idina Menzel & AURORA,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),Soundtrack,1,Apple
1,Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,2,Apple
2,Hong Kong,說好不哭,周杰倫 & 阿信,說好不哭 - Single,Pop,3,Apple
3,Hong Kong,Show Yourself,Idina Menzel & Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),Soundtrack,4,Apple
4,Hong Kong,Memories,魔力紅樂團,Memories - Single,Pop,5,Apple
5,Netherlands,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple
6,Netherlands,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Holidays,2,Apple
7,Netherlands,Last Christmas (Single Version),Wham!,Last Christmas - Single,Holidays,3,Apple
8,Netherlands,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,4,Apple
9,Netherlands,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,5,Apple
10,Australia,Dance Monkey,Tones and I,Dance Monkey - Single,Pop,1,Apple
11,Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,2,Apple
12,Australia,Ride It,Regard,Ride It - Single,Dance,3,Apple
13,Australia,Never Seen the Rain,Tones and I,The Kids Are Coming - EP,Alternative,4,Apple
14,Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,5,Apple
15,Canada,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple
16,Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Apple
17,Canada,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,3,Apple
18,Canada,Heartless,The Weeknd,Heartless - Single,R&B/Soul,4,Apple
19,Canada,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Holiday,5,Apple
20,France,Ne reviens pas (feat. Heuss L'enfoiré),Gradur,Zone 59,Hip-hop/Rap,1,Apple
21,France,Mayday (feat. Ninho),SCH,Rooftop,Hip-hop/Rap,2,Apple
22,France,40%,Aya Nakamura,NAKAMURA (Deluxe Edition),R&B/Soul,3,Apple
23,France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,4,Apple
24,France,Mon bébé d'amour,Jul,C'est pas des LOL,Hip-hop/Rap,5,Apple
25,Japan,Pretender,Official髭男dism,Pretender - Single,J-Pop,1,Apple
26,Japan,白日,King Gnu,白日 - Single,Alternative,2,Apple
27,Japan,宿命,Official髭男dism,宿命 - Single,J-Pop,3,Apple
28,Japan,イエスタデイ,Official髭男dism,Traveler,J-Pop,4,Apple
29,Japan,マリーゴールド,あいみょん,瞬間的シックスセンス,J-Pop,5,Apple
30,UK,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple
31,UK,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,Hip-Hop/Rap,2,Apple
32,UK,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Christmas,3,Apple
33,UK,Last Christmas,Wham!,Twenty Five,Pop,4,Apple
34,UK,Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,5,Apple
35,Germany,KEIN SCHLAF,Nimo & Hava,NIMORIGINAL,Hip-Hop/Rap,1,Apple
36,Germany,COLT,Samra,COLT - Single,Hip-Hop/Rap,2,Apple
37,Germany,Roller,Apache 207,Platte,Hip-Hop/Rap,3,Apple
38,Germany,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,4,Apple
39,Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,5,Apple
40,US,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,1,Apple
41,US,Start wit Me (feat. Gunna),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,2,Apple
42,US,Peta (feat. Meek Mill),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,3,Apple
43,US,Tip Toe (feat. A Boogie wit da Hoodie),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,4,Apple
44,US,Woah,Lil Baby,Woah - Single,Hip-Hop/Rap,5,Apple
0,Hong Kong,Hello,Adele,25,Pop,1,LastFM
1,Hong Kong,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,2,LastFM
2,Hong Kong,Photograph,Ed Sheeran,x,Pop,3,LastFM
3,Hong Kong,Thinking Out Loud,Ed Sheeran,x,Pop,4,LastFM
4,Hong Kong,Shape of You,Ed Sheeran,÷ (Deluxe),Pop,5,LastFM
5,Netherlands,Africa,Toto,Toto IV,Rock,1,LastFM
6,Netherlands,Sultans of Swing,Dire Straits,Dire Straits,Rock,2,LastFM
7,Netherlands,Hello,Adele,25,Pop,3,LastFM
8,Netherlands,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM
9,Netherlands,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,5,LastFM
10,Australia,The Less I Know the Better,Tame Impala,Currents,Alternative,1,LastFM
11,Australia,Mr. Brightside,The Killers,Hot Fuss,Rock,2,LastFM
12,Australia,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,3,LastFM
13,Australia,Hotline Bling,Drake,Views,Hip-Hop/Rap,4,LastFM
14,Australia,Let It Happen,Tame Impala,Currents,Alternative,5,LastFM
15,Canada,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM
16,Canada,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM
17,Canada,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM
18,Canada,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM
19,Canada,The Less I Know the Better,Tame Impala,Currents,Alternative,5,LastFM
20,France,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM
21,France,Creep,Radiohead,Pablo Honey,Alternative,2,LastFM
22,France,Come,Jain,Zanaka,Pop,3,LastFM
23,France,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,4,LastFM
24,France,Karma Police,Radiohead,OK Computer,Alternative,5,LastFM
25,Japan,ロビンソン,スピッツ,ハチミツ,Pop,1,LastFM
26,Japan,花束を君に,宇多田ヒカル,花束を君に,J-Pop,2,LastFM
27,Japan,新宝島,サカナクション,新宝島,Rock,3,LastFM
28,Japan,リライト,ASIAN KUNG-FU GENERATION,ソルファ,Anime,4,LastFM
29,Japan,道,宇多田ヒカル,Hikaru Utada Laughter in the Dark Tour 2018,Hip-Hop/Rap,5,LastFM
30,UK,Mr. Brightside,The Killers,Hot Fuss,Rock,1,LastFM
31,UK,Africa,Toto,Toto IV,Rock,2,LastFM
32,UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,LastFM
33,UK,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM
34,UK,Seven Nation Army,The White Stripes,Elephant,Alternative,5,LastFM
35,Germany,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM
36,Germany,Africa,Toto,Toto IV,Rock,2,LastFM
37,Germany,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM
38,Germany,Come as You Are,Nirvana,Nevermind,Rock,4,LastFM
39,Germany,Hello,Adele,25,Pop,5,LastFM
40,US,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM
41,US,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM
42,US,The Less I Know the Better,Tame Impala,Currents,Alternative,3,LastFM
43,US,Mr. Brightside,The Killers,Hot Fuss,Rock,4,LastFM
44,US,Hello,Adele,25,Pop,5,LastFM
0,Germany,KEIN SCHLAF,LGM,Kein Schlaf - Single,Hip-Hop/Rap,1,Spotify
1,Germany,COLT,Afroman,The Good Times,Hip-Hop/Rap,2,Spotify
2,Germany,Roller,April Wine,Classic Masters: April Wine (Remastered),Rock,3,Spotify
3,Germany,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,4,Spotify
4,Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,5,Spotify
5,Netherlands,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify
6,Netherlands,Pa Olvidarte,"ChocQuibTown, Zion & Lennox & Farruko",Pa Olvidarte (Remix) [feat. Manuel Turizo] - Single,Urbano latino,2,Spotify
7,Netherlands,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify
8,Netherlands,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,4,Spotify
9,Netherlands,Memories,Maroon 5,Memories - Single,Pop,5,Spotify
10,Australia,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify
11,Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Spotify
12,Australia,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify
13,Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,4,Spotify
14,Australia,Memories,Maroon 5,Memories - Single,Pop,5,Spotify
15,Japan,Pretender,Steve Aoki,Pretender (feat. Lil Yachty & AJR) - Single,Dance,1,Spotify
16,Japan,Hakujitsu,King Gnu,Hakujitsu - Single,J-Pop,2,Spotify
17,Japan,宿命,Yasuharu Takanashi,"""Fairy Tail"" Original Soundtrack Vol.1",Anime,3,Spotify
18,Japan,イエスタデイ,The Beatles,1 (2015 Version),Rock,4,Spotify
19,Japan,ノーダウト,No Doubt,The Singles 1992-2003,Pop,5,Spotify
20,France,Ne reviens pas,Gradur,Zone 59,Hip-Hop/Rap,1,Spotify
21,France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,2,Spotify
22,France,Popopop,musiqman Jr.,Musiqruisin',R&B/Soul,3,Spotify
23,France,Mayday (feat. Ninho),SCH,Rooftop,Hip-Hop/Rap,4,Spotify
24,France,Hé oh,OneRepublic,Oh My My,Pop,5,Spotify
25,US,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,1,Spotify
26,US,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,2,Spotify
27,US,Heartless,Diplo,Heartless (feat. Morgan Wallen) - Single,Country,3,Spotify
28,US,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,4,Spotify
29,US,Adore You,Harry Styles,Fine Line,Pop,5,Spotify
30,UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,1,Spotify
31,UK,Last Christmas,Wham!,Last Christmas - Single,Holiday,2,Spotify
32,UK,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,3,Spotify
33,UK,Rockin' Around The Christmas Tree,Brenda Lee,20th Century Masters - The Christmas Collection: The Best of Brenda Lee,Holiday,4,Spotify
34,UK,It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas,Holiday,5,Spotify
35,Canada,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify
36,Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Spotify
37,Canada,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,Spotify
38,Canada,Heartless,Diplo,Heartless (feat. Morgan Wallen) - Single,Country,4,Spotify
39,Canada,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,5,Spotify
40,Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,1,Spotify
41,Hong Kong,Memories,Maroon 5,Memories - Single,Pop,2,Spotify
42,Hong Kong,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,3,Spotify
43,Hong Kong,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,4,Spotify
44,Hong Kong,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,5,Spotify
